Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,153.9381866455078,154.043611219049,151.74345731781435,152.17473434629312,22622100
2020-01-03,152.0214080810547,153.29608187585552,151.48470640409093,151.73389977126973,21116200
2020-01-06,152.41433715820312,152.4814321717158,149.99916528012236,150.54546025064985,20813700
2020-01-07,151.02468872070312,153.02774140943038,150.77550996065915,152.6923101506048,21634100
2020-01-08,153.4302978515625,154.11076848731244,151.3793218301569,152.3185500131111,27746500
2020-01-09,155.3470916748047,155.47168838592032,154.33118975839852,155.10749161436823,21385000
2020-01-10,154.62823486328125,156.4300313375717,154.47488737099658,156.0466772308818,20725900
2020-01-13,156.487548828125,156.5162996578353,154.55157675816542,155.030776752035,21626500
2020-01-14,155.3854217529297,156.79427115018578,154.9924741797574,156.59300068313814,23477400
2020-01-15,156.39170837402344,157.1201017492039,155.80709840040043,155.85500670222126,21417900
2020-01-16,159.25735473632812,159.32444976786272,157.2063789543686,157.51307402876773,23865400
2020-01-17,160.1486358642578,160.5032391624606,158.54809509491176,160.45531624064395,34371700
2020-01-21,159.5736083984375,161.19330682352677,159.506513375375,159.74611338798528,29517200
2020-01-22,158.8068389892578,160.5223827672797,158.7876668991292,160.43611567371093,24138800
2020-01-23,159.78445434570312,159.86112810306957,158.39477722549302,159.2765034991713,19680800
2020-01-24,158.17430114746094,160.56072198335937,157.6088487588171,160.5415498920773,24918100
2020-01-27,155.5291290283203,156.58337473014765,153.53565555287855,154.44613250044506,32078100
2020-01-28,158.57687377929688,158.86438208614229,156.28629831594466,156.9667541408438,24899900
2020-01-29,161.04954528808594,161.730015789088,158.79731384262317,160.8578681941779,34754500
2020-01-30,165.59237670898438,166.80954899393157,163.68515514627387,166.80954899393157,51597500
2020-01-31,163.14842224121094,165.22814841412577,162.52546811244756,165.0460647046269,36142700
2020-02-03,167.12579345703125,167.24079677512617,163.3113510012876,163.3401018308113,30107000
2020-02-04,172.62701416015625,173.12538628617733,168.97551227070966,169.770986075543,36433300
2020-02-05,172.41615295410156,176.53727585031234,170.98814632338463,176.37434960632558,39186300
2020-02-06,175.99098205566406,176.1730803803763,172.56948732044293,173.4416347577372,27751400
2020-02-07,176.24020385742188,177.90782539119806,174.8888561295701,175.24347413113577,33529100
2020-02-10,180.85006713867188,180.9842425463389,175.62679035046133,175.94306408796697,35844300
2020-02-11,176.76730346679688,182.76688237616003,175.8664051008235,182.71895944996538,53159900
2020-02-12,177.0260467529297,178.1186220218096,174.285022534649,177.85984996170026,47062900
2020-02-13,176.0676727294922,178.48283023167522,175.26260560474086,175.4638760419346,35295800
2020-02-14,177.6394500732422,177.69695173476563,175.05175831249736,175.62680417577926,23149500
2020-02-18,179.44122314453125,179.8916723025023,177.7831952832468,177.88861986541076,27792200
2020-02-19,179.97940063476562,180.84431073258708,179.2009786139329,180.72899329660206,29997500
2020-02-20,177.2308807373047,179.95056256132537,174.04030962983762,179.66225432135775,36862400
2020-02-21,171.62814331054688,176.34674362106733,170.34038314351054,176.02960602817643,48572600
2020-02-24,164.2283477783203,167.7456767995482,156.86694717034356,161.2299766331264,68311100
2020-02-25,161.5182647705078,168.02434456078407,161.1146243999978,167.40929377024779,68073300
2020-02-26,163.5364227294922,166.5059646745075,161.6528357600334,163.09436268448397,56206100
2020-02-27,152.0137939453125,160.51880764190602,151.8215933113038,156.95343968954384,93174900
2020-02-28,155.69447326660156,157.32821509793874,146.07469130878144,146.46871208758472,97012700
2020-03-02,166.05426025390625,166.1791972611615,155.98279775249378,158.86585117062074,71030800
2020-03-03,158.09701538085938,168.17809625846616,155.93472557182196,167.02487795977277,71677000
2020-03-04,163.901611328125,164.04575815241859,159.16378529542013,161.92191673332013,49814400
2020-03-05,159.78843688964844,164.2091100591823,159.23104479488734,159.57701179632636,47817300
2020-03-06,155.27163696289062,156.75159777003395,149.9187613305263,156.2710889196156,72821100
2020-03-09,144.74850463867188,151.60056663781458,144.15267826099642,145.11369611606975,70419300
2020-03-10,154.64697265625,154.75268519400026,146.63208823980275,151.9945689781071,65354400
2020-03-11,147.6411590576172,151.55249360683956,145.25782452100498,151.00472112412774,56371600
2020-03-12,133.63916015625,147.48743299575844,133.1778756241553,139.63591772936488,93226400
2020-03-13,152.63845825195312,155.59839482240943,135.244030284054,141.7501248669071,92727400
2020-03-16,130.14100646972656,143.52798976058872,129.7373808223994,134.54246900100676,87905900
2020-03-17,140.8563690185547,141.75010842619918,129.73738737313147,134.54247579435855,81059800
2020-03-18,134.92689514160156,140.30860076246128,129.7566292767845,132.62045825492916,81593200
2020-03-19,137.14688110351562,144.29684249053958,133.5814979786997,137.20453983554452,85922700
2020-03-20,131.9958038330078,141.3657276057224,130.5638819979439,140.30860213500836,84866200
2020-03-23,130.67921447753906,135.0902979364527,127.35410063980538,131.66906177582132,78975200
2020-03-24,142.5574188232422,143.76831099200314,135.7630286059693,138.14634934439871,82516700
2020-03-25,141.19271850585938,148.3138631711929,138.80939871945762,143.10514900492822,75638200
2020-03-26,150.0244598388672,150.55302245770702,142.58617825074447,142.6150076059571,64568100
2020-03-27,143.86434936523438,148.85203366488764,143.3838405065235,145.83443861874218,57042300
2020-03-30,153.98385620117188,154.3394427083587,144.16225450169637,146.49753505054474,63420300
2020-03-31,151.5621337890625,158.3565224625242,150.45695444704126,153.18624166154734,77927200
2020-04-01,146.18038940429688,151.60052814409448,144.94068313817917,147.03569449157817,57969900
2020-04-02,149.20761108398438,149.41903616280743,144.498629958854,145.9401565886654,49630700
2020-04-03,147.83338928222656,151.2450058515352,146.25732047050815,149.05388615387716,41243300
2020-04-06,158.82742309570312,160.00947093725634,151.43719353320688,154.07038770333514,67111700
2020-04-07,157.11679077148438,163.37301078792336,156.89574614000952,162.97899000725934,62769000
2020-04-08,158.69290161132812,160.17286282862364,157.12643763236974,159.21184486145316,48318200
2020-04-09,158.7024688720703,160.845534324672,156.96302911027476,159.87491168706444,51385100
2020-04-13,159.05804443359375,159.11571781701875,155.97318563086938,157.94327497482155,41905300
2020-04-14,166.92874145507812,166.9767952642059,161.4509444856782,162.4119620123787,52874300
2020-04-15,165.1797332763672,166.80385559762394,162.64264703803937,164.52623359014876,40940800
2020-04-16,170.13856506347656,170.3692145876679,166.15995242096452,167.5053859827981,50479600
2020-04-17,171.63780212402344,172.98322131309308,169.0142127093836,172.50271236500117,52765600
2020-04-20,168.2357940673828,171.7819525244728,168.16853043851157,169.74459923455495,36669600
2020-04-21,161.2779998779297,166.89994470909014,159.63465313407258,166.7365734573094,56203700
2020-04-22,166.7558135986328,167.21709803903636,164.16106845840687,164.70884098189208,34620200
2020-04-23,164.7376708984375,168.23577513322712,164.24755709535398,167.32281114836113,32790800
2020-04-24,167.7456512451172,167.75525614359188,164.0553466033732,165.35271176787828,34277600
2020-04-27,167.26515197753906,170.00404392479186,166.54438862342496,169.70613075132624,33194400
2020-04-28,163.19041442871094,168.82197877653914,162.78678875157237,168.74509560032706,34392700
2020-04-29,170.5133514404297,170.7536058484767,165.17971531295805,166.4674754207384,51286600
