Date,Close,High,Low,Open,Volume,Ticker,Daily Return,Normalized Close,Volatility
2020-01-02,68.12372589111328,68.16208598510593,66.83734758257737,66.83734758257737,28132000.0,GOOG,,1.0,
2020-01-03,67.78942108154297,68.37930442399039,67.03632869883518,67.15171305828703,23728000.0,GOOG,-0.004907318341698663,0.9950926816583013,
2020-01-06,69.46092987060547,69.57501428962138,67.25834113577675,67.25834113577675,34646000.0,GOOG,0.02465736928261797,1.0196290493803808,
2020-01-07,69.41757202148438,69.8983427089121,69.27009928872117,69.64675190058186,30054000.0,GOOG,-0.0006242048472697714,1.0189925919853406,
2020-01-08,69.9646224975586,70.3263218842398,69.29303190259908,69.35480640849815,30560000.0,GOOG,0.007880576346071422,1.0270228409025621,
2020-01-09,70.73733520507812,71.11099262015763,70.26104211370898,70.77420529099804,30018000.0,GOOG,0.011044334692815516,1.0383656248946564,
2020-01-10,71.2305679321289,71.48958599528463,70.66360482018497,71.1224511531256,36414000.0,GOOG,0.006972735481493908,1.045605873730123,
2020-01-13,71.703857421875,71.76812539703022,71.0457226438868,71.54941358661911,33046000.0,GOOG,0.006644471657127005,1.0525533723226483,
2020-01-14,71.28784942626953,71.83189220822926,71.16280282918358,71.69289579622128,31178000.0,GOOG,-0.005801751963745216,1.0464467187278288,
2020-01-15,71.70236206054688,71.81171796918126,71.25447036301387,71.25447036301387,25654000.0,GOOG,0.0058146323337480155,1.0525314216540882,
2020-01-16,72.32512664794922,72.33957820087372,71.78805494305209,72.11289179547897,23474000.0,GOOG,0.008685412439780826,1.0616730911569827,
2020-01-17,73.7544937133789,73.79958164704354,72.64996477290734,72.88362228919742,47924000.0,GOOG,0.019763077255118944,1.0826550184771992,
2020-01-21,73.95426940917969,74.32543330502209,73.29662877544352,73.69121467610098,40734000.0,GOOG,0.002708657950756699,1.0855875606009242,
2020-01-22,74.031494140625,74.89160097202414,73.9806742418447,74.28309255050281,32216000.0,GOOG,0.001044222761745317,1.0867211558415713,
2020-01-23,74.06636810302734,74.50828458240707,73.83968929856596,74.11569799645245,27024000.0,GOOG,0.0004710692767608826,1.0872330767904943,
2020-01-24,73.07294464111328,74.50703893637343,73.00020034197286,74.41212697328763,35692000.0,GOOG,-0.013412612058042228,1.0726504413148317,
2020-01-27,71.43831634521484,71.64607358067836,70.80558765170744,71.29383882097378,35104000.0,GOOG,-0.022369815585325914,1.0486554487551003,
2020-01-28,72.36796569824219,72.53935456329114,71.36706080801932,71.89168026142487,31548000.0,GOOG,0.013013315550928661,1.0623019330139511,
2020-01-29,72.6703872680664,73.0091663200214,72.07801046020607,72.67885598415737,21554000.0,GOOG,0.004178942532186758,1.0667412317438474,
2020-01-30,72.53138732910156,72.60312815337686,71.56286719618645,71.74023131308448,26788000.0,GOOG,-0.0019127452624148056,1.0647008275066068,
2020-01-31,71.45475769042969,73.24332933521633,71.17077440981794,73.18204897262366,48344000.0,GOOG,-0.014843637745226235,1.048896794116056,
2020-02-03,74.03099822998047,74.23327436658063,72.68832651582746,72.83828513994706,60736000.0,GOOG,0.036054149825992976,1.08671387628312,
2020-02-04,72.0944595336914,73.21194244120252,71.05967965107749,72.59266942795216,78660000.0,GOOG,-0.02615848418351896,1.0582870885383575,
2020-02-05,72.15225219726562,72.92996017106478,71.27191614536156,72.85921521589113,39724000.0,GOOG,0.0008016242017490072,1.0591354370809285,
2020-02-06,73.5472412109375,73.83470625780087,72.21901342432614,72.256879383982,33588000.0,GOOG,0.01933396354500405,1.0796127230106731,
2020-02-07,73.69670104980469,74.02601552536632,73.05500192940411,73.10233247546581,23446000.0,GOOG,0.0020321610492299857,1.0818066699346285,
2020-02-10,75.16393280029297,75.20478637889101,73.45208879540156,73.45208879540156,28398000.0,GOOG,0.01990905603083526,1.1033444195408884,
2020-02-11,75.1694107055664,76.20767995883487,75.0123745430737,75.31987106902943,26892000.0,GOOG,7.287943923839357e-05,1.1034248306634713,
2020-02-12,75.64170837402344,75.76252822139317,75.13553152149302,75.45288792672153,23352000.0,GOOG,0.006283109898346684,1.1103577701390945,
2020-02-13,75.46186065673828,76.08561888964451,74.96066315107382,75.36371020707828,18590000.0,GOOG,-0.0023776263274736253,1.1077177542718968,
2020-02-14,75.7647705078125,75.7647705078125,75.09716350281852,75.50868686338217,23956000.0,GOOG,0.004014078747038852,1.1121642205670372,0.013087351666805545
2020-02-18,75.71145629882812,76.30731487256637,75.35872742368133,75.4787946633647,22414000.0,GOOG,-0.0007036807295400793,1.1113816120369402,0.013015071268241049
2020-02-19,76.06121063232422,76.33103885266067,75.7976541278208,75.98049935111298,18986000.0,GOOG,0.004619569489135555,1.1165157166226924,0.012406236864017834
2020-02-20,75.63573455810547,76.20817874720811,75.07126495040771,75.82754262619551,21932000.0,GOOG,-0.005593864082383271,1.1102700794580604,0.012490634491967712
2020-02-21,73.9896469116211,75.3400422729174,73.75698527381057,75.13154004320887,34634000.0,GOOG,-0.021763359027336504,1.086106873101505,0.013236513650642018
2020-02-24,70.82501220703125,71.5912637591547,70.31684363464926,71.05020099096896,57342000.0,GOOG,-0.042771317835452405,1.0396526508288113,0.015427015130146623
2020-02-25,69.1739501953125,71.64955212683627,68.87253535172991,71.393476084412,49566000.0,GOOG,-0.023311849306745902,1.015416424901331,0.01594770363236025
2020-02-26,69.40959167480469,70.5315672341156,68.70313052127754,69.55706439531768,44048000.0,GOOG,0.0034065060449324225,1.0188754470908812,0.015906117950641382
2020-02-27,65.66854858398438,68.33964561997183,65.62270804503615,67.85917139391135,59566000.0,GOOG,-0.05389807086530218,0.9639600260406604,0.01860568638734955
