Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,153.93820190429688,154.04362648828806,151.74347235905563,152.17474943028378,22622100
2020-01-03,152.0214385986328,153.29611264931836,151.48473681392875,151.73393023113195,21116200
2020-01-06,152.4143524169922,152.48144743722202,149.99918029711924,150.54547532233843,20813700
2020-01-07,151.02468872070312,153.02774140943038,150.77550996065915,152.6923101506048,21634100
2020-01-08,153.43026733398438,154.11073783438744,151.37929172052182,152.3185197166617,27746500
2020-01-09,155.34707641601562,155.4716731148929,154.33117459939524,155.10747637911362,21385000
2020-01-10,154.62826538085938,156.43006221075413,154.4749178583099,156.04670802840508,20725900
2020-01-13,156.487548828125,156.5162996578353,154.55157675816542,155.030776752035,21626500
2020-01-14,155.3854217529297,156.79427115018578,154.9924741797574,156.59300068313814,23477400
2020-01-15,156.3916778564453,157.12007108949035,155.80706799690049,155.8549762893727,21417900
2020-01-16,159.25732421875,159.32441923742755,157.20634882980724,157.51304384543616,23865400
2020-01-17,160.1486358642578,160.5032391624606,158.54809509491176,160.45531624064395,34371700
2020-01-21,159.57359313964844,161.1932914098585,159.5064981230017,159.74609811270088,29517200
2020-01-22,158.806884765625,160.5224290381556,158.78771266997,160.43616191972018,24138800
2020-01-23,159.78445434570312,159.86112810306957,158.39477722549302,159.2765034991713,19680800
2020-01-24,158.17433166503906,160.5607529613649,157.60887916729885,160.54158086638384,24918100
2020-01-27,155.52919006347656,156.5834361790274,153.535715805725,154.446193110595,32078100
2020-01-28,158.57688903808594,158.86439737259636,156.286313354327,156.96676924470185,24899900
2020-01-29,161.04953002929688,161.73000046582715,158.7972987972239,160.8578529535495,34754500
2020-01-30,165.59234619140625,166.80951825203667,163.68512498018404,166.80951825203667,51597500
2020-01-31,163.1484375,165.22816386742548,162.52548331297356,165.04608014089686,36142700
2020-02-03,167.12579345703125,167.24079677512617,163.3113510012876,163.3401018308113,30107000
2020-02-04,172.6269989013672,173.1253709833363,168.9754973346829,169.770971069203,36433300
2020-02-05,172.41616821289062,176.5372914738198,170.98816145579542,176.37436521541412,39186300
2020-02-06,175.9910125732422,176.17311092953105,172.56951724471946,173.44166483324778,27751400
2020-02-07,176.24017333984375,177.90779458485625,174.88882584599,175.24344378615035,33529100
2020-02-10,180.85006713867188,180.9842425463389,175.62679035046133,175.94306408796697,35844300
2020-02-11,176.76731872558594,182.76689815284072,175.86642028184582,182.71897522250933,53159900
2020-02-12,177.02606201171875,178.11863737477339,174.285037557175,177.85986529235913,47062900
2020-02-13,176.06765747070312,178.48281476357815,175.26259041572243,175.46386083547318,35295800
2020-02-14,177.6394500732422,177.69695173476563,175.05175831249736,175.62680417577926,23149500
2020-02-18,179.44119262695312,179.89164170831626,177.7831650476496,177.88858961188393,27792200
2020-02-19,179.97943115234375,180.84434139682065,179.20100899952064,180.72902394128226,29997500
2020-02-20,177.23086547851562,179.9505470683838,174.0402946457425,179.66223885323828,36862400
2020-02-21,171.62815856933594,176.34675929936876,170.34039828780988,176.02962167828235,48572600
2020-02-24,164.22833251953125,167.74566121395696,156.86693259551717,161.22996165292207,68311100
2020-02-25,161.51828002929688,168.0243604342089,161.11463962065454,167.40930958556814,68073300
2020-02-26,163.536376953125,166.50591806691972,161.65279051091127,163.0943170318562,56206100
2020-02-27,152.01377868652344,160.51879152940356,151.82157807180735,156.95342393492467,93174900
2020-02-28,155.6945037841797,157.3282459357456,146.07471994079202,146.46874079682706,97012700
2020-03-02,166.0542755126953,166.1792125314311,155.98281208581236,158.86586576886418,71030800
2020-03-03,158.09698486328125,168.1780637949299,155.93469547163215,167.02484571884304,71677000
2020-03-04,163.90159606933594,164.04574288020984,159.16377047770962,161.92190165883517,49814400
2020-03-05,159.78843688964844,164.2091100591823,159.23104479488734,159.57701179632636,47817300
2020-03-06,155.27163696289062,156.75159777003395,149.9187613305263,156.2710889196156,72821100
2020-03-09,144.74850463867188,151.60056663781458,144.15267826099642,145.11369611606975,70419300
2020-03-10,154.64698791503906,154.75270046321984,146.632102707775,151.99458397518742,65354400
2020-03-11,147.64117431640625,151.55250926986702,145.2578395334752,151.00473673054267,56371600
2020-03-12,133.63914489746094,147.4874161557871,133.17786041803524,139.63590178587188,93226400
2020-03-13,152.6384735107422,155.59841037709407,135.24404380397652,141.75013903722353,92727400
2020-03-16,130.14102172851562,143.5280065889765,129.73739603386412,134.54248477585907,87905900
2020-03-17,140.85638427734375,141.75012378180588,129.73740142741556,134.54249036917167,81059800
2020-03-18,134.92689514160156,140.30860076246128,129.7566292767845,132.62045825492916,81593200
2020-03-19,137.14688110351562,144.29684249053958,133.5814979786997,137.20453983554452,85922700
2020-03-20,131.99581909179688,141.36574394767993,130.56389709120197,140.30861835476156,84866200
2020-03-23,130.67918395996094,135.0902663887522,127.35407089874265,131.66903102708372,78975200
2020-03-24,142.557373046875,143.76826482680843,135.76298501133704,138.14630498446243,82516700
2020-03-25,141.19271850585938,148.3138631711929,138.80939871945762,143.10514900492822,75638200
2020-03-26,150.0244903564453,150.55305308280396,142.58620725524707,142.6150366163241,64568100
2020-03-27,143.86436462402344,148.85204945268907,143.38385571434802,145.83445408648623,57042300
2020-03-30,153.98382568359375,154.33941212030803,144.1622259306307,146.49750601665718,63420300
2020-03-31,151.56210327148438,158.35649057687158,150.45692415199494,153.18621081694926,77927200
2020-04-01,146.18038940429688,151.60052814409448,144.94068313817917,147.03569449157817,57969900
2020-04-02,149.20761108398438,149.41903616280743,144.498629958854,145.9401565886654,49630700
2020-04-03,147.83334350585938,151.2449590187665,146.2572751821681,149.0538399995851,41243300
2020-04-06,158.82740783691406,160.00945556490618,151.4371789844083,154.07037290156163,67111700
2020-04-07,157.1167755126953,163.3729949215459,156.89573090268775,162.9789741791482,62769000
2020-04-08,158.69287109375,160.17283202644026,157.12640741603184,159.21181424407922,48318200
2020-04-09,158.70249938964844,160.84556525434934,156.96305929336856,159.8749424300966,51385100
2020-04-13,159.05804443359375,159.11571781701875,155.97318563086938,157.94327497482155,41905300
2020-04-14,166.92880249023438,166.97685631693233,161.45100351795472,162.41202139603777,52874300
2020-04-15,165.1797332763672,166.80385559762394,162.64264703803937,164.52623359014876,40940800
2020-04-16,170.1385955810547,170.3692451466174,166.15998222490302,167.5054160280656,50479600
2020-04-17,171.63775634765625,172.98317517789815,169.01416763273633,172.50266635795955,52765600
2020-04-20,168.23577880859375,171.78193694405135,168.16851518582325,169.74458383891903,36669600
2020-04-21,161.2779998779297,166.89994470909014,159.63465313407258,166.7365734573094,56203700
2020-04-22,166.7558135986328,167.21709803903636,164.16106845840687,164.70884098189208,34620200
2020-04-23,164.73765563964844,168.23575955042696,164.2475418819616,167.32279565012405,32790800
2020-04-24,167.7456512451172,167.75525614359188,164.0553466033732,165.35271176787828,34277600
2020-04-27,167.26512145996094,170.00401290750204,166.5443582373503,169.7060997883908,33194400
2020-04-28,163.19041442871094,168.82197877653914,162.78678875157237,168.74509560032706,34392700
2020-04-29,170.51336669921875,170.7536211287655,165.1797300944541,166.4674903174727,51286600
